"0","PlayersSelected","forInfo","Totals forselectedplayers","0","Merit","Form","Prob. ofAppear-ing","0","GW5","0","0","0","0","0","0","0","0","0","0","GW10","0","Rest OfSeason","PointsSo Far","OfficialChance","OfficialAvailability","SelectedBy %","TransfersIn GW","TransfersOut GW","News"
"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsGW5Predicted FPL points for gameweek 5, assuming player appears","ValGW5Predicted points for gameweek 5 per million pounds of the player's current cost","PtsGW6Predicted FPL points for gameweek 6, assuming player appears","PtsNext2Predicted total FPL points up to and including gameweek 6, assuming player appears in each match","PtsGW7Predicted FPL points for gameweek 7, assuming player appears","PtsNext3Predicted total FPL points up to and including gameweek 7, assuming player appears in each match","PtsGW8Predicted FPL points for gameweek 8, assuming player appears","PtsNext4Predicted total FPL points up to and including gameweek 8, assuming player appears in each match","PtsGW9Predicted FPL points for gameweek 9, assuming player appears","PtsNext5Predicted total FPL points up to and including gameweek 9, assuming player appears in each match","PtsGW10Predicted FPL points for gameweek 10, assuming player appears","PtsNext6Predicted total FPL points up to and including gameweek 10, assuming player appears in each match","ValNext6Predicted points over the next six gameweeks per million pounds of the player's current cost","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPredicted points for the rest of the season per million pounds of the player's current cost","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Matheus N.","","MCI","DEF","5.9","3.15","2.33","0.75","3.8","0.64","3","6.8","3.8","10.5","3.1","13.6","3.5","17.2","3.2","20.4","3.45","116","19.6","10","100","Available","1.0","6245","3698",""
"","Virgil","","LIV","DEF","6.5","4.15","1.23","0.94","3.8","0.58","4","7.7","3.8","11.6","4.2","15.8","4","19.8","3.9","23.7","3.65","142","21.8","17","100","Available","16.4","32114","78619",""
"","Botman","","NEW","DEF","5","3.48","-1.05","0.94","3.8","0.75","3.6","7.4","3.8","11.1","3.5","14.7","3.8","18.5","3.5","22","4.4","123","24.6","11","100","Available","0.7","6623","5786",""
"","Ndiaye","","MCI","MID","5.9","3.58","-0.92","0.94","3.7","0.64","3.2","6.9","3.9","10.8","3.2","14","3.6","17.6","3.2","20.8","3.53","117","19.8","17","100","Available","7.5","36425","162837",""
"","Wissa","","NEW","FWD","6.2","3.28","0.08","0.91","3.7","0.59","3.3","6.9","3.5","10.4","3.1","13.5","3.4","16.9","3.1","20","3.23","111","17.9","15","100","Available","18.8","260340","187537",""
"","Branthwaite","","EVE","DEF","5.5","3.26","1.62","0.93","3.6","0.66","3.4","7.1","3.3","10.4","3","13.5","3.1","16.6","3.7","20.3","3.68","114","20.7","19","100","Available","2.3","42747","11646",""
"","Mykolenko","","EVE","DEF","4.5","3.17","3.17","0.94","3.6","0.81","3.4","7.1","3.5","10.6","3.2","13.7","3.3","17","3.8","20.8","4.63","119","26.4","22","100","Available","3.8","191888","20625",""
"","Rúben","","MCI","DEF","5.5","3.13","1.69","0.87","3.6","0.66","2.8","6.5","3.4","9.9","3","12.9","3.2","16.1","3.1","19.1","3.47","108","19.6","16","100","Available","1.9","18818","9690",""
"","Diomande","","NFO","DEF","5.4","3.24","-0.15","0.64","3.6","0.67","3.3","6.9","3.3","10.2","3.6","13.8","3.4","17.2","3.4","20.6","3.81","121","22.4","5","100","Available","0.5","3452","3010",""
"","Suzuki","","AVL","GK","5","3.65","0.98","0.96","3.6","0.72","3.7","7.3","3.3","10.6","3.3","13.9","3.6","17.5","3.3","20.9","4.17","118","23.5","14","100","Available","1.8","14583","16430",""
"","Rulli","","MCI","GK","5","3.19","1","0.06","3.6","0.72","3","6.6","3.4","10","3.1","13.1","3.3","16.3","3.1","19.5","3.89","109","21.9","0","100","Available","0.0","147","177",""
"","Sels","","NFO","GK","5","3.24","0.2","0.94","3.6","0.71","3.2","6.7","3.3","10","3.3","13.3","3.1","16.4","3.3","19.8","3.95","115","22.9","12","100","Available","1.8","32408","11200",""
