"","Harrison","","LEE","MID","5.0","0","","0.00"
"","James","","LEE","MID","5.0","1.5","","1.00"
"","Gruev","","LEE","MID","5.0","0","","0.00"
"","Tanaka","","LEE","MID","5.0","1.5","","1.00"
"","Calvert-Lewin","","LEE","FWD","6.0","2","","1.00"
"","Nmecha","","LEE","FWD","5.5","1.8","","1.00"
"","Piroe","","LEE","FWD","5.0","1.4","","1.00"
"","Mateo Joseph","","LEE","FWD","4.5","0","","0.00"
"","Trafford","","LEE","GKP","5.0","2.6","","1.00"
"","A.Becker","","LIV","GKP","5.5","3.3","","1.00"
"","Mamardashvili","","LIV","GKP","5.0","2.6","","1.00"
"","Woodman","","LIV","GKP","4.0","1","","1.00"
"","Pecsi","","LIV","GKP","4.0","1","","1.00"
"","Jaros","","LIV","GKP","4.0","0","","0.00"
"","Davies","","LIV","GKP","4.0","1","","1.00"
"","Virgil","","LIV","DEF","6.5","3.1","","1.00"
"","Frimpong","","LIV","DEF","5.5","2.5","","1.00"
"","Kerkez","","LIV","DEF","5.5","2.5","","1.00"
"","Gomez","","LIV","DEF","5.0","0","","0.00"
"","Bradley","","LIV","DEF","5.0","0","","0.00"
"","Lucky","","LIV","DEF","4.0","1","","1.00"
"","Jacquet","","LIV","DEF","5.0","2.2","","1.00"
"","Leoni","","LIV","DEF","4.0","0","","0.00"
"","Tsimikas","","LIV","DEF","5.0","2.2","","1.00"
"","Ramsay","","LIV","DEF","4.0","1","","1.00"
"","Wirtz","","LIV","MID","7.5","2.6","","1.00"
"","Gakpo","","LIV","MID","7.0","2.5","","1.00"
"","Szoboszlai","","LIV","MID","7.0","2.5","","1.00"
"","Ngumoha","","LIV","MID","6.0","2.1","","1.00"
"","Chiesa","","LIV","MID","5.5","2","","1.00"
"","Gravenberch","","LIV","MID","6.0","2.1","","1.00"
"","Mac Allister","","LIV","MID","5.5","2","","1.00"
"","C.Jones","","LIV","MID","5.5","2","","0.75"
"","Endo","","LIV","MID","5.0","1.5","","1.00"
"","Nyoni","","LIV","MID","5.0","1.5","","1.00"
"","Bajcetic","","LIV","MID","5.0","0","","0.00"
"","Munoz","","LIV","MID","6.5","2.3","","1.00"
"","McConnell","","LIV","MID","4.5","1","","1.00"
"","Isak","","LIV","FWD","9.0","2.7","","1.00"
"","Ekitiké","","LIV","FWD","7.5","0","","0.00"
"","Koumas","","LIV","MID","5.0","1.5","","1.00"
"","Danns","","LIV","FWD","4.5","0","","0.00"
"","Elliott","","LIV","MID","5.5","2","","1.00"
"","Araujo","","LIV","DEF","5.5","2.5","","1.00"
"","Grealish","","MCI","MID","6.5","1.7","","1.00"
"","Donnarumma","","MCI","GKP","5.5","3.3","","1.00"
"","Bettinelli","","MCI","GKP","4.5","1.9","","1.00"
"","O'Reilly","","MCI","DEF","6.5","3.1","","1.00"
"","Guéhi","","MCI","DEF","6.0","2.8","","1.00"
"","Matheus N.","","MCI","DEF","6.0","2.8","","0.75"
"","Rúben","","MCI","DEF","5.5","2.5","","1.00"
"","Gvardiol","","MCI","DEF","5.5","2.5","","1.00"
"","Aït-Nouri","","MCI","DEF","5.5","2.5","","1.00"
"","Khusanov","","MCI","DEF","5.5","2.5","","1.00"
"","Alleyne","","MCI","DEF","5.0","2.2","","1.00"
"","Lewis","","MCI","DEF","4.5","1.7","","1.00"
"","Vitor Reis","","MCI","DEF","4.5","1.7","","1.00"
"","Semenyo","","MCI","MID","8.5","2.9","","1.00"
"","Foden","","MCI","MID","7.0","2.5","","1.00"
"","Cherki","","MCI","MID","7.5","2.6","","1.00"
